step,socratic_style,loss,learning_rate,epoch
20,0.04130071178821179,,,0.3018867924528302
40,0.04111853285603284,,,0.6037735849056604
50,,5.0491,8.08080808080808e-06,0.7547169811320755
60,0.039179917304917294,,,0.9056603773584906
80,0.020692808580308576,,,1.1962264150943396
100,0.038273097735597734,3.5395,1.616161616161616e-05,1.4981132075471697
120,0.08272150974025977,,,1.8
140,0.06387756132756132,,,2.090566037735849
150,,2.3688,2.4242424242424244e-05,2.241509433962264
160,0.054112541625041616,,,2.392452830188679
180,0.04834903846153846,,,2.6943396226415093
200,0.045574500499500493,2.0712,3.232323232323232e-05,2.9962264150943394
220,0.04750772699522699,,,3.2867924528301886
240,0.047474164724164714,,,3.5886792452830187
250,,1.9447,4.040404040404041e-05,3.739622641509434
260,0.05831258047508047,,,3.890566037735849
280,0.05263293928293928,,,4.181132075471698
300,0.04567320179820178,1.8699,4.848484848484849e-05,4.483018867924528
320,0.056104818792318795,,,4.784905660377358
340,0.04535741758241757,,,5.0754716981132075
350,,1.8162,5.656565656565657e-05,5.226415094339623
360,0.048055443861693845,,,5.377358490566038
380,0.05375066322566322,,,5.679245283018868
400,0.06981602286602287,1.7779,6.464646464646465e-05,5.981132075471698
420,0.05905961954711954,,,6.271698113207547
440,0.05187283272283271,,,6.573584905660377
450,,1.726,7.272727272727273e-05,6.724528301886792
460,0.050139951021201015,,,6.875471698113207
480,0.045463407425907404,,,7.166037735849057
500,0.051719339647280815,1.6922,7.999776224367661e-05,7.467924528301887
520,0.05174464979464979,,,7.769811320754717
540,0.047680352980352975,,,8.060377358490566
550,,1.6523,7.972953430967773e-05,8.211320754716981
560,0.049986956099456095,,,8.362264150943396
580,0.0581204365079365,,,8.664150943396226
600,0.0543732559107559,1.6218,7.90171914754163e-05,8.966037735849056
620,0.05609935481185479,,,9.256603773584906
640,0.05350049256299256,,,9.558490566037737
650,,1.5676,7.786869663480203e-05,9.709433962264152
660,0.05107291389166388,,,9.860377358490567
680,0.059096614496614484,,,10.150943396226415
700,0.06541131507381506,1.5348,7.629688818829578e-05,10.452830188679245
720,0.0484100115162615,,,10.754716981132075
740,0.05575871767121766,,,11.045283018867925
750,,1.4964,7.431933652939909e-05,11.19622641509434
760,0.057412337662337644,,,11.347169811320756
780,0.04827285076035075,,,11.649056603773586
800,0.06197368881118881,1.4629,7.195814763476165e-05,11.950943396226416
820,0.06488669386169385,,,12.241509433962264
840,0.05558315018315017,,,12.543396226415094
850,,1.4169,6.923971595346687e-05,12.69433962264151
860,0.05192072233322232,,,12.845283018867924
880,0.05774555583305582,,,13.135849056603774
900,0.061660755910755906,1.379,6.619442935781141e-05,13.437735849056605
920,0.05351328463203462,,,13.739622641509435
940,0.051494264069264065,,,14.030188679245283
950,,1.3525,6.28563294537743e-05,14.181132075471698
960,0.06387783744033743,,,14.332075471698113
980,0.05823006438006437,,,14.633962264150943
1000,0.05687110250860251,1.311,5.926273104838026e-05,14.935849056603773
1020,0.05766391386391386,,,15.226415094339623
1040,0.0546261433011433,,,15.528301886792454
1050,,1.2645,5.5453805027725145e-05,15.679245283018869
1060,0.06634062049062048,,,15.830188679245284
1080,0.06125369491619491,,,16.120754716981132
1100,0.060646103896103885,1.2393,5.1472129308443616e-05,16.422641509433962
1120,0.05014986541236541,,,16.724528301886792
1140,0.05711348790098789,,,17.015094339622642
1150,,1.2134,4.7362212882288815e-05,17.166037735849056
1160,0.05274802558552558,,,17.316981132075473
1180,0.056137878787878785,,,17.618867924528303
1200,0.05708006854256853,1.1755,4.316999827427154e-05,17.920754716981133
1220,0.05848225663225661,,,18.211320754716983
1240,0.0535698593073593,,,18.513207547169813
1250,,1.1402,3.894234797610907e-05,18.664150943396226
1260,0.05830247113997113,,,18.815094339622643
1280,0.047545003607503605,,,19.10566037735849
1300,0.05536708152958153,1.1181,3.472652059586559e-05,19.40754716981132
1320,0.05677386363636363,,,19.70943396226415
1340,0.05614247835497835,,,20.0
1350,,1.0893,3.0569642579622905e-05,20.150943396226417
1360,0.04639264069264068,,,20.30188679245283
1380,0.057343975468975475,,,20.60377358490566
1400,0.0510898088023088,1.0609,2.651818141051833e-05,20.90566037735849
1420,0.05381850649350649,,,21.19622641509434
1440,0.05866964285714285,,,21.49811320754717
1450,,1.0394,2.261742617397153e-05,21.649056603773584
1460,0.053858820346320335,,,21.8
1480,0.05511931818181818,,,22.09056603773585
1500,0.0547534632034632,1.0155,1.8910981295579903e-05,22.39245283018868
1520,0.05434024170274169,,,22.69433962264151
1540,0.05619004329004328,,,22.99622641509434
1550,,1.008,1.5440279110911932e-05,23.135849056603774
1560,0.05307537878787877,,,23.286792452830188
1580,0.0560188492063492,,,23.588679245283018
1600,0.05398246753246752,0.9848,1.2244116715915638e-05,23.890566037735848
1620,0.059407503607503596,,,24.181132075471698
1640,0.05571412337662337,,,24.483018867924528
1650,,0.9659,9.358222275240884e-06,24.633962264150945
1660,0.05436109307359307,,,24.78490566037736
1680,0.056265458152958144,,,25.07547169811321
1700,0.05657552308802308,0.9616,6.8148556364785586e-06,25.37735849056604
1720,0.05437858946608945,,,25.67924528301887
1740,0.05416838023088021,,,25.9811320754717
1750,,0.9539,4.642447714833993e-06,26.120754716981132
1760,0.05499119769119768,,,26.27169811320755
1780,0.053626749639249634,,,26.57358490566038
1800,0.05462626262626262,0.9417,2.8652826793570975e-06,26.87547169811321
1820,0.056104834054834046,,,27.166037735849056
1840,0.054771608946608936,,,27.467924528301886
1850,,0.9357,1.5032264933971807e-06,27.618867924528303
1860,0.05463425324675324,,,27.769811320754716
1880,0.0551089466089466,,,28.060377358490566
1900,0.054894715007214996,0.939,5.71504843781181e-07,28.362264150943396
1920,0.05446013708513708,,,28.664150943396226
1940,0.05548156565656566,,,28.966037735849056
1950,,0.9368,8.053294112462696e-08,29.10566037735849
1960,0.055189303751803746,,,29.256603773584906
1980,0.055760732323232316,,,29.558490566037737
